最优价值：40162
求解时间：0.4207s

选择详情（项集编号, 物品）：
3 : (1500, 70, 518, 588, 1, 821)
3 : (1305, 13, 490, 493, 2, 733)
3 : (760, 341, 433, 774, 2, 731)
3 : (569, 18, 186, 203, 2, 581)
3 : (1757, 433, 551, 984, 3, 704)
3 : (983, 392, 862, 1254, 2, 466)
3 : (769, 28, 858, 876, 3, 695)
3 : (1465, 163, 492, 624, 4, 768)
3 : (993, 254, 590, 844, 1, 159)
3 : (1181, 135, 952, 1073, 2, 305)
3 : (1011, 412, 442, 841, 4, 491)
3 : (1052, 839, 922, 1761, 8, 967)
3 : (75, 18, 507, 525, 4, 481)
3 : (786, 703, 960, 1663, 7, 816)
3 : (912, 510, 942, 1452, 2, 223)
3 : (1211, 306, 379, 685, 4, 431)
3 : (375, 9, 92, 93, 8, 854)
3 : (654, 167, 781, 822, 6, 616)
3 : (437, 127, 672, 799, 9, 890)
3 : (1334, 519, 756, 1275, 5, 484)
3 : (1211, 758, 996, 1754, 3, 286)
3 : (1442, 919, 969, 1367, 3, 283)
3 : (16, 367, 920, 1058, 4, 360)
3 : (188, 46, 180, 225, 2, 174)
3 : (1087, 40, 134, 153, 3, 237)
3 : (248, 19, 527, 544, 9, 682)
3 : (786, 22, 94, 116, 7, 502)
1 : (1, 302, 552, 854, 238, 1000)
2 : (754, 1252, 1, 263, 264, 728)
1 : (9, 935, 944, 554, 640, 1194)
1 : (6, 992, 998, 307, 371, 678)
1 : (5, 685, 690, 50, 64, 114)
1 : (2, 495, 497, 454, 712, 1166)
1 : (2, 817, 819, 486, 988, 1474)
1 : (4, 510, 511, 605, 987, 1463)
1 : (6, 530, 536, 196, 445, 641)
1 : (2, 519, 521, 372, 934, 1306)
1 : (5, 900, 901, 238, 560, 764)
1 : (5, 617, 622, 270, 897, 1167)
1 : (5, 688, 692, 286, 578, 749)
1 : (3, 231, 234, 65, 248, 313)
2 : (850, 910, 1, 332, 333, 420)
1 : (5, 465, 467, 213, 596, 746)
1 : (10, 723, 726, 816, 855, 1043)
1 : (1, 691, 692, 97, 527, 624)
1 : (7, 723, 728, 219, 734, 851)
1 : (3, 752, 755, 60, 531, 591)
1 : (5, 623, 628, 74, 666, 740)
1 : (5, 778, 779, 606, 727, 762)
1 : (9, 696, 705, 18, 422, 440)
2 : (881, 1332, 3, 903, 904, 624)
2 : (407, 408, 3, 409, 410, 263)
2 : (565, 731, 3, 291, 294, 168)
2 : (905, 973, 9, 981, 982, 532)
2 : (765, 1275, 3, 633, 634, 303)
2 : (860, 1213, 7, 775, 782, 365)
2 : (810, 958, 5, 759, 763, 347)
2 : (434, 502, 4, 413, 416, 61)
2 : (570, 675, 9, 883, 888, 115)
2 : (714, 1386, 3, 761, 764, 81)
2 : (169, 273, 12, 965, 971, 69)
2 : (675, 831, 7, 994, 995, 66)
2 : (337, 433, 5, 798, 799, 52)
2 : (933, 1371, 11, 894, 905, 35)
2 : (803, 910, 4, 696, 700, 13)
